,TEAM,PLAYER,TYPE ,PRICE
1,Mumbai Indians,Ishan Kishan,Wicket Keeper,"15,25,00,000"
2,Chennai Super Kings,Deepak Chahar,Bowler,"14,00,00,000"
3,Kolkata Knight Riders,Shreyas Iyer,Batsman,"12,25,00,000"
4,Punjab Kings,Liam Livingstone,All-Rounder,"11,50,00,000"
5,Delhi Capitals,Shardul Thakur,Bowler,"10,75,00,000"
6,Royal Challengers Bangalore,Harshal Patel,All-Rounder,"10,75,00,000"
7,Royal Challengers Bangalore,Wanindu Hasaranga,All-Rounder,"10,75,00,000"
8,Sunrisers Hyderabad,Nicholas Pooran,Wicket Keeper,"10,75,00,000"
9,Gujarat Titans,Lockie Ferguson,Bowler,"10,00,00,000"
10,Lucknow Super Giants,Avesh Khan,Bowler,"10,00,00,000"
11,Rajasthan Royals,Prasidh Krishna,Bowler,"10,00,00,000"
